| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      3%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    640MiB /  5931MiB |      2%      Default |
